experiment_id,date_max,n_repet,random_state,extra_sufixo_mark,fi_cut,n_fib,corte_fib,n_fib_menor,md_center_f_i,mf_center_f_i,mss_center_f_i,msl_center_f_i,md_center_p_i,mf_center_p_i,mss_center_p_i,msl_center_p_i,tscv,n_iter_t_filter,n_iter_t_pred,amp,metricas
9a4f101c-fa7d-4824-be67-f6a06bedd766,2026-02-01,15,0,_ficut9_feateng2_mun_expl_grouped1_fi_cut_reduc0.001_fev_26,0.9,20,2,9,8,3,4,0,15,4,1,0,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=2, test_size=None)",17,17,1,"  CO_MES CO_PRDT  CO_GEO1 CO_GEO3  rmse  rmse_lr   r2  r2_lr  acc
0     03    3102  2906501     999  23.8     25.7 -0.2   -0.4  0.9"
f9e6e209-8a0e-4fb5-b989-9d188c87bc5e,2026-02-01 00:00:00,15,0,_ficut9_feateng2_mun_expl_grouped1_fi_cut_reduc0.001_fev_26,0.9,20,2,9,16,4,1,1,12,1,3,2,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=2, test_size=None)",17,17,1,"  CO_MES CO_PRDT  CO_GEO1 CO_GEO3  rmse  rmse_lr   r2  r2_lr  acc
0     03    3102  2906501     999  23.7     25.7 -0.2   -0.4  0.9"
1fbb663d-bebe-4c83-ad38-f2a27cdd35e4,2026-02-01 00:00:00,15,0,_ficut9_feateng2_mun_expl_grouped1_fi_cut_reduc0.001_fev_26,0.9,20,2,9,16,6,3,0,10,9,2,1,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=2, test_size=None)",17,17,1,"  CO_MES CO_PRDT  CO_GEO1 CO_GEO3  rmse  rmse_lr   r2  r2_lr  acc
0     03    3102  2906501     999  23.2     25.7 -0.1   -0.4  0.6"
9b45e066-3f1a-48ec-85ce-d0ea201b8f15,2026-02-01 00:00:00,15,0,_ficut9_feateng2_mun_expl_grouped1_fi_cut_reduc0.001_fev_26,0.9,20,2,9,2,3,3,0,10,4,2,1,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=2, test_size=None)",7,7,1,"  CO_MES CO_PRDT  CO_GEO1 CO_GEO3  rmse  rmse_lr   r2  r2_lr  acc
0     03    3102  2906501     999  23.7     25.7 -0.2   -0.4  0.9"
db60a682-03a0-452b-bf35-d137cde8702d,2026-02-01 00:00:00,15,0,_ficut9_feateng2_mun_expl_grouped1_fi_cut_reduc0.001_fev_26,0.9,20,2,9,3,8,6,2,9,2,6,6,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=4, test_size=None)",7,7,1,"  CO_MES CO_PRDT  CO_GEO1 CO_GEO3  rmse  rmse_lr   r2  r2_lr  acc
0     06    3102  2906501     999  10.4     13.1  0.6    0.3  0.8"
ca5967af-abea-461a-a7ec-d81503af23cf,2026-02-01 00:00:00,15,0,_ficut9_feateng2_mun_expl_grouped1_fi_cut_reduc0.001_fev_26,0.9,20,2,9,11,11,1,1,13,1,2,1,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",7,7,1,"  CO_MES CO_PRDT  CO_GEO1 CO_GEO3  rmse  rmse_lr   r2  r2_lr  acc
0     09    3102  2906501     999  15.4     16.2  0.4    0.3  0.9"
cb9e6684-3775-4f87-9c33-7bf275979894,2026-02-01 00:00:00,15,0,_ficut9_feateng2_mun_expl_grouped1_fi_cut_reduc0.001_fev_26,0.9,20,2,9,17,8,3,0,17,3,3,1,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=3, test_size=None)",7,7,1,"  CO_MES CO_PRDT  CO_GEO1 CO_GEO3  rmse  rmse_lr   r2  r2_lr  acc
0     12    3102  2906501     999  17.4     20.6  0.4    0.1  0.9"
